case_id,pdb_id,component_id,mode,affinity_kcal_mol,experimental_reference_heavy_atom_rmsd_angstrom,mapping_status,mapping_note
pilot-001,1STP,BTN,1,-7.244,0.689177,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-001,1STP,BTN,2,-6.175,1.285972,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-001,1STP,BTN,3,-6.093,1.211476,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-001,1STP,BTN,4,-5.968,1.608621,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-001,1STP,BTN,5,-5.864,0.752898,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-001,1STP,BTN,6,-5.788,1.068567,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-001,1STP,BTN,7,-5.358,1.024104,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-001,1STP,BTN,8,-5.207,1.353663,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-001,1STP,BTN,9,-4.964,0.953448,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,1,-10.96,0.769116,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,2,-10.22,1.198453,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,3,-10.04,0.992267,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,4,-9.759,0.946790,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,5,-9.593,1.264253,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,6,-9.53,1.376442,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,7,-9.349,1.034122,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,8,-9.284,1.455111,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
pilot-007,3D4Q,SM5,9,-8.843,1.543364,verified,"CCD-to-SDF element order, experimental heavy atoms, isomeric SMILES and pose count verified"
