case_id,pdb_id,format,source_url,retrieved_at_utc,local_path,bytes,sha256,status,error
pilot-001,1STP,mmCIF,https://files.rcsb.org/download/1STP.cif,2026-08-12T07:00:09.564434Z,raw/structures/pilot-001_1STP.cif,148195,36be77b9722ebb9f603b27bf16cbc30057f87ab9923a2d2adab0eadbdb30c30f,retrieved,
pilot-002,1HVR,mmCIF,https://files.rcsb.org/download/1HVR.cif,2026-08-12T07:00:11.028532Z,raw/structures/pilot-002_1HVR.cif,233902,88ae65ea8ab9756b408a94ab02fe922c1d80a79e6226d796f2a565aea3c0dda6,retrieved,
pilot-003,1IEP,mmCIF,https://files.rcsb.org/download/1IEP.cif,2026-08-12T07:00:12.390939Z,raw/structures/pilot-003_1IEP.cif,526113,0929a6fae4aa67875ed0c8d06b650f0a4ec7bb104011abfc7c8ee402c672ca27,retrieved,
pilot-004,1FPU,mmCIF,https://files.rcsb.org/download/1FPU.cif,2026-08-12T07:00:14.855405Z,raw/structures/pilot-004_1FPU.cif,490768,67298b2666f60457a21b2784a580d9a65896a055e90bae64d1afe377571f0cee,retrieved,
pilot-005,2P16,mmCIF,https://files.rcsb.org/download/2P16.cif,2026-08-12T07:00:17.713705Z,raw/structures/pilot-005_2P16.cif,290924,f9f2239e3cc0b94f0bd9ba2c302e1d3e7dd4b044ac1d9a08d5f9927d551ed40b,retrieved,
pilot-006,3PTB,mmCIF,https://files.rcsb.org/download/3PTB.cif,2026-08-12T07:00:20.301113Z,raw/structures/pilot-006_3PTB.cif,230954,d2744dbacfb97ec9b4ff7f5cf4b204418bccf92e46b63130bfebb3916260232f,retrieved,
pilot-007,3D4Q,mmCIF,https://files.rcsb.org/download/3D4Q.cif,2026-08-12T07:00:21.747387Z,raw/structures/pilot-007_3D4Q.cif,477469,034d6572fda3bb64e13c3b42ef5d55466f3ec4704f47d1357fa23bf802d0d983,retrieved,
pilot-008,3CJO,mmCIF,https://files.rcsb.org/download/3CJO.cif,2026-08-12T07:00:25.639899Z,raw/structures/pilot-008_3CJO.cif,647811,94f8d6c475d6533d39cc2cd7241cc557af2eb058cd3da0495eb98abd77d9e705,retrieved,
expansion-001,1B9V,mmCIF,https://files.rcsb.org/download/1B9V.cif,2026-08-12T20:37:55.347536Z,raw/structures/expansion-001_1B9V.cif,372427,06ecc2f0c82d97ca07a88379a9597231c043bf43cd0a338520fbf6f71d0f582c,retrieved,
expansion-002,1CDE,mmCIF,https://files.rcsb.org/download/1CDE.cif,2026-08-12T20:37:58.095475Z,raw/structures/expansion-002_1CDE.cif,708548,3a77c91a48c8d2e13d63a5925b2eafd7db0ffad87c6ed2ab8e5c1ac6d1eeaedc,retrieved,
expansion-003,1E66,mmCIF,https://files.rcsb.org/download/1E66.cif,2026-08-12T20:38:03.281804Z,raw/structures/expansion-003_1E66.cif,555126,344d0d9d4fbad0a876bb9198cb2019b79d51412c5549bcad056f95a9ef66695e,retrieved,
expansion-004,1H22,mmCIF,https://files.rcsb.org/download/1H22.cif,2026-08-12T20:38:08.459972Z,raw/structures/expansion-004_1H22.cif,507132,4bf2b9bcaa44a139769c34667b0b452e7af8ed242d74268ad5f2031490cd91c1,retrieved,
expansion-005,1KZK,mmCIF,https://files.rcsb.org/download/1KZK.cif,2026-08-12T20:38:13.955403Z,raw/structures/expansion-005_1KZK.cif,548887,30d6a82c14b482068521232b4c782d373347e43756c83801af5c350291a5312c,retrieved,
expansion-006,1MZC,mmCIF,https://files.rcsb.org/download/1MZC.cif,2026-08-12T20:38:18.635123Z,raw/structures/expansion-006_1MZC.cif,749830,bd1943dc9983a505afd79af28ef3513b0620ef6b4c6d9076a5f6d71993c3db40,retrieved,
expansion-007,1N1M,mmCIF,https://files.rcsb.org/download/1N1M.cif,2026-08-12T20:38:26.155048Z,raw/structures/expansion-007_1N1M.cif,1429914,0c947a20c5648437c7bc4fb200d6fd1368d2770a957d317e513b2b3c86491941,retrieved,
expansion-008,1R55,mmCIF,https://files.rcsb.org/download/1R55.cif,2026-08-12T20:38:35.566150Z,raw/structures/expansion-008_1R55.cif,259877,7f963c82d58241fa824c100b779696f8994679b3ed9ec65084e5c1b1d4b21a16,retrieved,
expansion-009,9CY0,mmCIF,https://files.rcsb.org/download/9CY0.cif,2026-08-12T21:12:50.532386Z,raw/structures/expansion-009_9CY0.cif,1478580,3c2f377318289d5c612a0c51a3327f386481ba11d0cee5568c6abb40a9969354,retrieved,
expansion-010,6FMC,mmCIF,https://files.rcsb.org/download/6FMC.cif,2026-08-12T21:12:58.077503Z,raw/structures/expansion-010_6FMC.cif,434944,d52f70446a29ee28cfc647e599b8c3eaeb7c54a37aa5f5c9c15b709354f63bd9,retrieved,
expansion-011,7G0Z,mmCIF,https://files.rcsb.org/download/7G0Z.cif,2026-08-12T21:19:34.969683Z,raw/structures/expansion-011_7G0Z.cif,597750,43389144d736325903b950fbd9f473d13844fc80a66bcbe9795a814b2ad3b7ac,retrieved,
expansion-012,7AOT,mmCIF,https://files.rcsb.org/download/7AOT.cif,2026-08-12T21:23:53.802602Z,raw/structures/expansion-012_7AOT.cif,524336,e17c38e6e9d3cb035e98a7c3fd3061f7e165e960924e0d9882aeea2e8255e7ac,retrieved,
