case_id,pdb_id,reference_ligand_instance,config_path,config_sha256,center_x,center_y,center_z,size_x,size_y,size_z,padding_angstrom,minimum_size_angstrom,exhaustiveness,num_modes,energy_range,created_at_utc
pilot-001,1STP,A:BTN:300,derived/vina-configs/pilot-001_1STP.txt,945d43eebf80fb9780cb27dace6096a9fae597145cb56b0e5bcf81d64037073b,11.419,2.371,-11.373,22.545,22.004,23.519,8.0,20.0,8,9,3,2026-08-12T07:09:49.436169Z
pilot-004,1FPU,A:PRC:1,derived/vina-configs/pilot-004_1FPU.txt,5a6264a18faf6c4ad0ec6253a78061266208e72cc56745db7c20abae4d56e5ba,14.140,54.593,14.113,23.215,29.809,24.016,8.0,20.0,8,9,3,2026-08-12T07:09:49.457293Z
pilot-007,3D4Q,A:SM5:1,derived/vina-configs/pilot-007_3D4Q.txt,38c11938ed3a11c637e6608ba7c2e0162743cea2d8669d8fc2956118d043b857,84.194,6.949,-7.081,28.032,25.211,20.106,8.0,20.0,8,9,3,2026-08-12T07:09:49.475947Z
